Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Fix Version/s,Component/s,Component/s,Component/s,Component/s,Component/s,Due Date,Votes,Labels,Description,Environment,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Bug of),Outward issue link (Cloners),Outward issue link (Dependency),Outward issue link (Dependency),Outward issue link (Dependency),Outward issue link (Dependency),Outward issue link (Dependency),Outward issue link (Dependency),Outward issue link (Duplicate),Outward issue link (Duplicate),Outward issue link (Mention),Outward issue link (Mention),Outward issue link (Mention),Outward issue link (Mention),Outward issue link (Mention),Outward issue link (Mention),Outward issue link (Mention),Outward issue link (Mention),Outward issue link (Mention),Outward issue link (Mention),Outward issue link (Mention),Outward issue link (Mention),Outward issue link (Mention),Outward issue link (Mention),Outward issue link (Mention),Outward issue link (Parent-Child),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Resolved Bugs/Defect),Outward issue link (Workaround),Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (% Closed),Custom field (AE Name),Custom field (Acceptance Criteria),Custom field (Actions),Custom field (Actual Delivery Date),Custom field (Actual Start Date),Custom field (Agile Product Owner),Custom field (Agile QA Owner),Custom field (Aha! Reference),Custom field (Assigned Date),Custom field (Browsers),Custom field (Browsers),Custom field (Bug Triaged),Custom field (Campaign Overview),Custom field (Capitalizable),Custom field (Cart Click Thru URL),Custom field (Cart number),Custom field (Client Name),Custom field (Code Review Time),Custom field (CodeReview Owner),Custom field (Commercial Required?),Custom field (Conclusion),Custom field (Conclusion),Custom field (Content Schedule),Custom field (Copy),Custom field (Core message and specific copy:),Custom field (Creative Deliverables),Custom field (Deal Team),Custom field (Defect Found),Custom field (Design Due Date:),Custom field (Desktop CPM),Custom field (Desktop Click Thru URL),Custom field (Desktop impression goal),Custom field (Dev Hrs. Actual),Custom field (Dev Hrs. Estimate),Custom field (Dev Owner),Custom field (Device),Custom field (Display Description),Custom field (Display Name),Custom field (Due Date w/time),Custom field (End Date),Custom field (End Date w/time),Custom field (Environment Tested),Custom field (Epic Colour),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Expected Revenue),Custom field (Flagged),Custom field (Flight End Date),Custom field (Flight Start Date),Custom field (Go Live),Custom field (Homepage takeover date),Custom field (If Commercial Required),"Custom field (If For Print, Color or Black/White?)",Custom field (If Logo Requested),Custom field (If Sponsored),Custom field (If sweepers/liners required),Custom field (Impact Statement),Custom field (Impacted Items),Custom field (Is this for Print or Web?),Custom field (Live Date),Custom field (Local or National),Custom field (Logo Requested),Custom field (Market),Custom field (Mobile CPM),Custom field (Mobile Click Thru URL),Custom field (Mobile impression goal),Custom field (Notes),Custom field (OLDCapitalizedOLD),Custom field (OS),Custom field (OSes),Custom field (OSes),Custom field (Official Contest Rules),Custom field (Owner),Custom field (PA#),Custom field (Page created?),Custom field (Preroll CPM),Custom field (Preroll Click Thru URL),Custom field (Preroll impression goal),Custom field (Primary Genre),Custom field (Primary Keyword),Custom field (Project Notes),Custom field (Rank),Custom field (Rank (Obsolete)),Custom field (Release Date),Custom field (Requested Delivery Date),Custom field (Requested Placement - Specify),Custom field (Review Notes),Custom field (Risk Level),Custom field (Secondary Genre),Custom field (Send to Print Date:),Custom field (Severity Level),Custom field (Specific PMS colors to use?),Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Custom field (Start Date),Custom field (Start Date w/time),Custom field (Station Sponsored?),Custom field (Station Type),Custom field (Station(s) - Specify),Custom field (Steps to Reproduce),Custom field (Story Points),Custom field (Sweepers/Liners Required?),Custom field (Temporary or Permanent),Custom field (TestEng Hrs. Actual),Custom field (TestEng Hrs. Estimate),Custom field (TestEng Owner),Custom field (TestEng Required),Custom field (Testing Notes),Custom field (Testing Points),Custom field (Timeframe),Custom field (URL),Custom field (UXD Sizing),Custom field (Web Bug Prevention strategy),Custom field (What are the dimensions?),Custom field (What is the goal of this piece?),Custom field (What is the tone?),Custom field (What was changed?),Custom field (Who is the audience?),Custom field (git pull request url),Custom field (git sha1),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
Save client features to AMP,AR-1205,118843,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,tterry,tterry,tterry,30/Dec/15 8:26 PM,26/Jan/16 10:05 PM,03/May/19 9:53 AM,26/Jan/16 10:05 PM,,Mario Release,,,,,,,0,,"http://stg-poweramp103.ihrcloud.net:9000/internal/docs


format is
{code}
{
    ""path"":""iheartradio.clients"",
    ""name"":""US-android.mobile-5.14.0"",
    ""value"" : {
        JSON GOES HERE
    }
}
{code}",,mfielder,tterry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26/Jan/16 4:53 PM;mfielder;iphone.mobile.us;https://jira.ihrint.com/secure/attachment/97316/iphone.mobile.us,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AR-238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzr9v3:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit _2_ Beholder,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,"26/Jan/16 4:52 PM;mfielder;Looking good, feedback is:

* Allow country list to be filtered, we only support 3 today
* Client setup looks good with country/client/version forming composite key for config service
* Allow copy of client/version data (i.e. copy iphone/1.0.0 to iphone/1.0.1 or copy iphone/1.0.0 to android/1.0.0)
* Featured need to allow more complex json structures, example attached of how this is being used today.  Config service supports any arbitrary json.
* Toggle for switch features doesn't work, reverts state each time
* Publish changes didn't seem to work

Attaching how this is currently being used for a real client config case","26/Jan/16 4:54 PM;mfielder;Posting the attached w/

curl -s -o /dev/null -w ""%{http_code}"" -X POST --header ""Content-Type: application/json"" --header ""Accept: application/json"" --data @$file iphone.mobile.us",,,,,,,,
Add app permissions support to developer,AR-1203,118763,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,mbrown,mbrown,mbrown,29/Dec/15 5:55 PM,30/Dec/15 10:22 PM,03/May/19 9:53 AM,30/Dec/15 10:22 PM,,,Developer,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzr8dr:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit _23_ WIRESHARK,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Native A/V embed spike,AR-1199,118504,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,tlong,1110204,1110204,21/Dec/15 6:44 PM,02/May/16 4:20 PM,03/May/19 9:53 AM,02/May/16 4:20 PM,,,,,,,,,0,,How will we handle embedding A/V from assets into content and utilizing the iheart player for playback?,,1110204,tlong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzaalb:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit _8_Hydra,RadioEdit _9_Invisible Stalker,,,,,,,,,,,2.0,,,,,,No,,,,,,,,,,,,,,12/Apr/16 5:29 PM;1110204;current flint service used by iheart player: http://flint-services.iheart.com/ihrservices/v6.0/content/media/26473236,"02/May/16 1:58 PM;tlong;Talked to internal transcode/ingestion team, video is not on their near term roadmap so will be unavailable for this purpose.

Two candidates: Zencoder, AWS Elastic Transcode.

Zencoder is the clearly superior product with top notch support for HLS, Audio Only and various formats. It's also faster and does a two-pass encoding for much higher quality.

AWS;ET is cheaper (10%-50% depending on volume) and supports some things but not all. We already do have an AWS bill though, so this may be more acceptable from a finance side if less so from an engineering one.

At the volume we would be handling I imagine it's something like $20 vs $30, irrelevant.

One big difference is that Zencoder allows per-job configuration. Meaning that applications and our software could manage the configuration on-demand. AWS;ET I believe requires setup, which puts us in the realm of Ops and Chef when we need to alter a setting.

Engineering vote for Zencoder. ",,,,,,,,
SDK V3,AR-1198,118502,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,tlong,1110204,1110204,21/Dec/15 6:44 PM,06/Apr/16 5:36 PM,03/May/19 9:53 AM,06/Apr/16 5:36 PM,,,,,,,,,0,,,,1110204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AR-238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzawzr:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit _7_Golem,,,,,,,,,,,,5.0,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,
Mobile Publishing Article Workflow Spike,AR-1196,118498,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,tlong,1110204,1110204,21/Dec/15 6:42 PM,23/Mar/16 10:10 PM,03/May/19 9:53 AM,23/Mar/16 10:10 PM,,,,,,,,,0,,"As a user I want the content tool to support article publishing via mobile web

Some ideas: https://wiki.ccrd.clearchannel.com/display/PM/Mobile+Publishing+Workflow
",,1110204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Come up with a workflow/mockups/plan for how publishing articles via mobile web can be as simple as possible.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzas8f:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit _7_Golem,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,17/Mar/16 2:52 PM;1110204;https://www.evernote.com/shard/s18/sh/916c2da7-66fb-4bed-8b69-7db06dff5803/20a1d608d0ecfa5f,,,,,,,,,
Spike: On-Air Scheudling,AR-1194,118495,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,,1110204,1110204,21/Dec/15 6:36 PM,26/Feb/16 7:25 PM,03/May/19 9:53 AM,26/Feb/16 7:25 PM,,,,,,,,,0,,Spike to determine what Core data we have and what can be done with it in radioedit to meet on-air schedule needs for local and premiere websites.,,1110204,1112062,ccrnyc2msw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Plan for serving on-air schedules for local and syndicated personalities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzasvj:,9223372036854775807,,,,,,,,Severity 4:  Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spike: National controlled content blocks in Local sites pages,AR-1193,118494,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,,1110204,1110204,21/Dec/15 6:33 PM,12/Jan/17 4:14 PM,03/May/19 9:53 AM,10/Feb/16 9:06 PM,,,Site Manager,,,,,,0,,"As a national admin, I want to add content to a region in site manager that will appear on local sites that cannot be removed/modified by local admin",,1110204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,National admin can add content to local site regions that cannot be modified by local admins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzrfnj:,9223372036854775807,,,,,,,,Severity 4:  Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Start/End date for content block items,AR-1192,118491,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,aroberts,1110204,1110204,21/Dec/15 6:30 PM,12/Jan/17 4:15 PM,03/May/19 9:53 AM,10/Feb/16 9:06 PM,,,Site Manager,,,,,,0,,As a user I want to position content in a content block for a period of time.,,1110204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,User can set start end date for each content block item on site manager pages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzrfmv:,9223372036854775807,,,,,,,,Severity 4:  Low,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Content Block - Single Asset,AR-1187,118477,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,aroberts,1110204,1110204,21/Dec/15 6:19 PM,12/Jan/17 4:14 PM,03/May/19 9:53 AM,09/Feb/16 2:40 PM,,,Site Manager,,,,,,0,,As a user I want to insert a single asset into a content region (i.e. right rail),,1110204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,User can position a single asset in a content region in site manager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzax3z:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit _3_Chaos Beast,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Content Block - Social Feeds,AR-1186,118473,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,aroberts,1110204,1110204,21/Dec/15 6:15 PM,12/Jan/17 4:15 PM,03/May/19 9:53 AM,08/Feb/16 2:39 PM,,,Site Manager,,,,,,0,,As a user I want to be able to relate additional content items to my content or page that are currently available in T2,,1110204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Instagram Feed widget for a Hashtag or Username
Twitter Feed widget for a Hashtag or Username",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzax3r:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit _3_Chaos Beast,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
